mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.12870988845825196,0.004309361994606414,0.04224338531494141,0.004714841069902095,100,10,4,log2,20,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 20}",0.8393300248138957,0.7731899641577061,0.8011557408109132,0.757723528788601,0.8017050691244241,0.7946208655391079,0.027973188776449057,10
0.14757905006408692,0.015889060178951805,0.038246774673461915,0.02179764595366922,100,2,1,log2,20,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 20}",0.8584275342339859,0.758125,0.8192622789396983,0.7231651681651681,0.7834331797235022,0.788482632212471,0.04701729444578654,18
0.43182830810546874,0.030426220733609514,0.047889995574951175,0.02014030627827938,300,2,1,,20,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 20}",0.7879772167487684,0.7222222222222222,0.7643771043771044,0.7910033514872225,0.7504090965270053,0.7631977982724646,0.025420888487519357,41
0.13361921310424804,0.012655263378822104,0.023377037048339842,0.008079735484071147,100,2,2,sqrt,10,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}",0.8232423490488006,0.7748138957816377,0.8352579365079364,0.7586635944700462,0.8112229076077797,0.8006401366832401,0.02915569215177569,4
0.1727076530456543,0.05306107261609647,0.054352092742919925,0.01509538079236809,100,2,4,sqrt,30,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 30}",0.801875,0.741875,0.8196329365079364,0.7983542741607257,0.7978899835796388,0.7919254388496603,0.026262716310024112,15
0.15488858222961427,0.05954603344112659,0.033469629287719724,0.01592447571487934,100,2,4,log2,20,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 20}",0.8232009925558312,0.7736212779156327,0.8536571618037135,0.7420833333333334,0.8062169312169312,0.7997559393650884,0.038745081573733124,7
0.1568537712097168,0.01850042546677435,0.020888233184814455,0.004855492343143456,100,5,1,,30,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 30}",0.7879772167487684,0.7222222222222222,0.7643771043771044,0.7568910256410257,0.7705257936507937,0.7603986725279829,0.021673520933082387,42
0.2841451644897461,0.027266096498467736,0.038638877868652347,0.00909743510153495,200,10,1,log2,30,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 30}",0.8393300248138957,0.7384201819685691,0.8031332466816337,0.7744089360849529,0.7967748556597278,0.7904134490417558,0.03333027568850377,16
0.41203937530517576,0.12315852301515122,0.03984742164611817,0.008710156329314834,300,5,4,sqrt,,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None}",0.8221505376344086,0.6909690799396682,0.8163033329273739,0.7791653277304,0.7255555555555556,0.7668287667574814,0.05122224480499135,36
0.17622637748718262,0.06578403675067636,0.04672927856445312,0.01947115658685764,100,2,2,,20,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 20}",0.8062291434927698,0.7222222222222222,0.707037645976265,0.7568910256410257,0.698272792022792,0.738130565871015,0.03949141255071504,50
0.3667233943939209,0.03525642849224042,0.04233245849609375,0.007130824536824468,300,10,2,sqrt,30,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30}",0.8027776054590571,0.739454094292804,0.8152958152958153,0.8517857142857143,0.728042328042328,0.7874711114751436,0.04686637445944104,20
0.45076212882995603,0.15914254072984496,0.05827341079711914,0.03304870290529898,300,2,1,sqrt,30,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30}",0.819700682382134,0.7749999999999999,0.8361291486291487,0.7966584564860426,0.7978899835796388,0.8050756542153928,0.021001138163287893,3
0.3481144905090332,0.017733736053493838,0.054501581192016604,0.01984951436866776,200,2,2,,30,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 30}",0.7879772167487684,0.7222222222222222,0.7476322751322751,0.7910033514872225,0.747959353656505,0.7593588838493985,0.026332396728953624,44
0.2966310024261475,0.09755930859434792,0.037497520446777344,0.025335683689233907,200,10,2,log2,20,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20}",0.8420436626777005,0.724198717948718,0.8196329365079364,0.7791653277304,0.7967748556597278,0.7923631001048965,0.04012936593682238,13
0.08943705558776856,0.011767157878279153,0.019008779525756837,0.0017840379701812175,100,10,4,sqrt,30,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 30}",0.8054166666666667,0.7257471264367815,0.8364157824933687,0.799727900534352,0.7606486042692939,0.7855912160800924,0.038417391474691115,24
